id,inmate_id,location_id,date
1,2012-0808003,1,2012-12-14
2,2012-0309243,2,2012-12-13
3,2012-1007153,3,2013-01-14
4,2012-1024141,4,2012-12-17
5,2012-1018199,5,2012-12-18
6,2012-0813098,6,2012-12-14
7,2012-0315024,7,2012-12-20
8,2012-0710202,9,2013-01-23
9,2012-1209016,10,2012-12-14
10,2012-0908045,11,2013-01-03
11,2012-0930013,12,2013-01-18
12,2012-0609012,15,2013-01-14
13,2012-0106121,17,2013-01-23
14,2012-1119048,18,2012-12-14
15,2012-0903007,6,2013-01-18
16,2012-0301199,20,2013-01-24
17,2012-0903044,3,2012-12-17
18,2012-0821121,21,2013-01-16
19,2012-1202040,22,2012-12-18
20,2012-0726095,20,2013-01-03
21,2012-0815067,23,2012-12-13
22,2012-1119101,25,2012-12-17
23,2012-0718232,27,2013-01-16
24,2012-0807062,28,2012-12-14
25,2012-0704104,29,2013-01-17
26,2012-1121092,30,2012-12-13
27,2010-0625073,31,2013-01-23
28,2011-1222177,32,2013-01-07
29,2012-0814143,12,2012-12-18
30,2012-0910141,6,2013-01-10
31,2012-0921110,20,2012-12-17
32,2012-1203161,33,2013-01-14
33,2012-0705100,1,2012-12-20
34,2012-0918145,34,2013-01-10
35,2012-0922174,35,2013-01-10
36,2011-0829068,23,2013-01-08
37,2012-0201021,37,2013-01-07
38,2009-1205136,38,2012-12-18
39,2012-0422116,3,2012-12-17
40,2012-0914084,39,2012-12-27
41,2012-1114081,25,2012-12-20
42,2012-1024162,40,2013-01-09
43,2012-1204105,41,2012-12-26
44,2011-1201145,44,2012-12-27
45,2011-0126145,45,2013-01-22
46,2012-1115100,39,2013-01-14
47,2008-0089796,47,2013-01-08
48,2012-0714174,44,2013-01-08
49,2010-1011151,48,2013-01-08
50,2012-0904227,49,2013-03-13
51,2012-1208121,41,2012-12-24
52,2012-1031214,7,2012-12-18
53,2012-1126101,30,2012-12-20
54,2012-1127021,2,2012-12-14
55,2012-1210035,51,2012-12-19
56,2011-0224069,38,2013-01-03
57,2012-1029148,52,2013-01-03
58,2012-1207035,53,2012-12-21
59,2012-1114023,54,2012-12-21
60,2012-1024154,32,2013-01-08
61,2012-1019161,55,2012-12-13
62,2011-0908152,3,2013-01-15
63,2012-0927117,56,2013-01-17
64,2012-1201177,57,2012-12-21
65,2012-1116251,51,2012-12-13
66,2012-1014081,58,2013-01-09
67,2010-0503212,60,2013-01-10
68,2012-1211137,62,2012-12-18
69,2012-1103117,25,2012-12-19
70,2012-0920220,63,2012-12-13
71,2012-0830156,23,2013-01-09
72,2011-1124126,37,2013-01-08
73,2011-1116061,1,2012-12-19
74,2011-0524150,23,2013-01-03
75,2012-1111157,31,2013-01-09
76,2012-0930041,27,2013-01-29
77,2011-1116171,59,2013-01-16
78,2009-0054597,48,2012-12-17
79,2012-1116271,56,2012-12-13
80,2012-0907232,7,2012-12-14
81,2012-0516138,2,2012-12-27
82,2012-0703044,35,2013-01-08
83,2012-0530055,38,2013-01-17
84,2011-0825080,66,2012-12-21
85,2012-1202070,41,2012-12-18
86,2012-0731054,68,2013-01-17
87,2012-0819119,60,2012-12-18
88,2012-1208151,69,2012-12-27
89,2012-1209081,70,2012-12-24
90,2012-0812110,37,2013-01-09
91,2012-1111147,25,2012-12-20
92,2010-1104099,23,2012-12-18
93,2012-1211080,30,2012-12-17
94,2012-1210004,71,2012-12-18
95,2011-0907188,72,2012-12-13
96,2012-0809228,15,2013-01-04
97,2012-1124086,73,2012-12-14
98,2011-0914251,37,2012-12-13
99,2012-0513129,39,2013-01-08
100,2012-0723144,68,2013-01-16
101,2012-0625225,44,2013-01-07
102,2011-1204145,76,2013-01-03
103,2012-0603110,76,2012-12-19
104,2012-1117171,77,2013-01-22
105,2011-0616081,35,2012-12-20
106,2012-1211204,78,2012-12-17
107,2012-1129151,69,2012-12-20
108,2012-0805147,48,2012-12-13
109,2011-1229126,72,2012-12-18
110,2010-1001221,79,2013-01-08
111,2012-1009144,29,2012-12-18
112,2012-1207209,2,2012-12-20
113,2012-0715210,80,2012-12-14
114,2012-0919236,59,2013-01-10
115,2012-1119114,81,2012-12-27
116,2012-0625081,76,2012-12-20
117,2011-0317080,23,2013-01-08
118,2012-0718238,12,2013-01-14
119,2012-1205214,6,2013-01-24
120,2012-1124149,82,2012-12-14
121,2012-0925167,11,2012-12-17
122,2012-0407026,83,2013-01-10
123,2011-0521165,1,2012-12-14
124,2012-0518190,32,2013-01-22
125,2012-1207077,71,2012-12-17
126,2012-0927088,52,2012-12-18
127,2012-0715093,60,2012-12-21
128,2012-0924075,72,2012-12-20
129,2012-0316229,44,2013-01-15
130,2012-0301204,87,2012-12-13
131,2011-1119119,76,2013-01-08
132,2012-0926108,27,2013-01-15
133,2012-0727056,47,2012-12-19
134,2012-1209057,41,2012-12-26
135,2012-1203087,57,2012-12-27
136,2012-1209020,73,2012-12-28
137,2012-1031101,12,2013-01-13
138,2012-1124081,41,2012-12-18
139,2012-0804093,44,2013-01-15
140,2012-1128118,57,2012-12-20
141,2010-0718139,2,2012-12-20
142,2011-0824162,47,2012-12-17
143,2012-0702035,31,2013-01-15
144,2012-1201007,53,2012-12-17
145,2012-1208007,89,2012-12-24
146,2012-0927224,90,2013-01-07
147,2012-1111099,80,2013-01-07
148,2012-0317033,91,2013-01-04
149,2012-0910217,32,2012-12-17
