id,location
1,"Criminal C
Criminal Courts Building, Room:506
2650 South California Avenue Room: 506
Chicago, IL 60608
"
2,"Criminal C
Criminal Courts Building, Room:202
2650 South California Avenue Room: 202
Chicago, IL 60608
"
3,"Skokie
Skokie, Room:208
5600 Old Orchard Road Room: 208
Skokie, IL 60076
"
4,"Maywood
Maywood, Room:107
1500 Maybrook Drive Room: 107
Maywood, IL 60153
"
5,"Bridgeview
Bridgeview, Room:101
10220 South 76th Avenue Room: 101
Bridgeview, IL 60455
"
6,"Skokie
Skokie, Room:108
5600 Old Orchard Road Room: 108
Skokie, IL 60076
"
7,"Rolling Me
Rolling Meadows, Room:109
2121 West Euclid Avenue Room: 109
Rolling Meadows, IL 60008
"
8,Bridgeview
9,"Rolling Me
Rolling Meadows, Room:101
2121 West Euclid Avenue Room: 101
Rolling Meadows, IL 60008
"
10,"Branch 42
Branch 42, Room:2
2452 West Belmont Avenue Room: 2
Chicago, IL 60618
"
11,"Criminal C
Criminal Courts Building, Room:304
2650 South California Avenue Room: 304
Chicago, IL 60608
"
12,"Criminal C
Criminal Courts Building, Room:303
2650 South California Avenue Room: 303
Chicago, IL 60608
"
13,""
14,DALEY CENT
15,"Criminal C
Criminal Courts Building, Room:504
2650 South California Avenue Room: 504
Chicago, IL 60608
"
16,"Skokie
Skokie, Room:1
5600 Old Orchard Road Room: 1
Skokie, IL 60076
"
17,"Maywood
Maywood, Room:102
1500 Maybrook Drive Room: 102
Maywood, IL 60153
"
18,"Skokie
Branch 44, Room:2
3150 West Flournoy Room: 2
Chicago, IL 60612
"
19,Branch 34
20,"Criminal C
Criminal Courts Building, Room:402
2650 South California Avenue Room: 402
Chicago, IL 60608
"
21,"Skokie
Branch 35, Room:2
727 East 111th Street Room: 2
Chicago, IL 60628
"
22,"Branch 61
Branch 61, Room:401
555 West Harrison Room: 401
Chicago, IL 60607
"
23,"Criminal C
Criminal Courts Building, Room:606
2650 South California Avenue Room: 606
Chicago, IL 60608
"
24,"Branch 66
Criminal Courts Building, Room:600
2650 South California Avenue Room: 600
Chicago, IL 60608
"
25,"Criminal C
Criminal Courts Building, Room:101
2650 South California Avenue Room: 101
Chicago, IL 60608
"
26,Criminal C
27,"Criminal C
Criminal Courts Building, Room:203
2650 South California Avenue Room: 203
Chicago, IL 60608
"
28,"Criminal C
Criminal Courts Building, Room:702
2650 South California Avenue Room: 702
Chicago, IL 60608
"
29,"Criminal C
Criminal Courts Building, Room:502
2650 South California Avenue Room: 502
Chicago, IL 60608
"
30,"Branch 38
Branch 38, Room:1
727 East 111th Street Room: 1
Chicago, IL 60628
"
31,"Criminal C
Criminal Courts Building, Room:600
2650 South California Avenue Room: 600
Chicago, IL 60608
"
32,"Markham
Markham, Room:107
16501 South Kedzie Parkway Room: 107
Markham, IL 60426
"
33,"Bridgeview
Bridgeview, Room:9999
10220 South 76th Avenue Room: 9999
Bridgeview, IL 60455
"
34,"Criminal C
Criminal Courts Building, Room:706
2650 South California Avenue Room: 706
Chicago, IL 60608
"
35,"Criminal C
Criminal Courts Building, Room:602
2650 South California Avenue Room: 602
Chicago, IL 60608
"
36,MARKHAM
37,"Criminal C
Criminal Courts Building, Room:308
2650 South California Avenue Room: 308
Chicago, IL 60608
"
38,"Criminal C
Criminal Courts Building, Room:302
2650 South California Avenue Room: 302
Chicago, IL 60608
"
39,"Criminal C
Criminal Courts Building, Room:207
2650 South California Avenue Room: 207
Chicago, IL 60608
"
40,"Markham
Markham, Room:9999
16501 South Kedzie Parkway Room: 9999
Markham, IL 60426
"
41,"Branch 50
Branch 50, Room:2
5555 West Grand Avenue Room: 2
Chicago, IL 60639
"
42,"Branch 48
Branch 34, Room:1
155 West 51st Street Room: 1
Chicago, IL 60609
"
43,"Branch 43
Criminal Courts Building, Room:602
2650 South California Avenue Room: 602
Chicago, IL 60608
"
44,"Markham
Markham, Room:105
16501 South Kedzie Parkway Room: 105
Markham, IL 60426
"
45,"Skokie
Skokie, Room:207
5600 Old Orchard Road Room: 207
Skokie, IL 60076
"
46,"Criminal C
Criminal Courts Building, Room:204
2650 South California Avenue Room: 204
Chicago, IL 60608
"
47,"Criminal C
Criminal Courts Building, Room:208
2650 South California Avenue Room: 208
Chicago, IL 60608
"
48,"Maywood
Maywood, Room:105
1500 Maybrook Drive Room: 105
Maywood, IL 60153
"
49,"Bridgeview
Bridgeview, Room:208
10220 South 76th Avenue Room: 208
Bridgeview, IL 60455
"
50,Maywood
51,"Skokie
Skokie, Room:105
5600 Old Orchard Road Room: 105
Skokie, IL 60076
"
52,"Criminal C
Criminal Courts Building, Room:704
2650 South California Avenue Room: 704
Chicago, IL 60608
"
53,"Branch 62
Branch 62, Room:402
555 West Harrison Room: 402
Chicago, IL 60607
"
54,"Bridgeview
Bridgeview, Room:105
10220 South 76th Avenue Room: 105
Bridgeview, IL 60455
"
55,"Skokie
Skokie, Room:107
5600 Old Orchard Road Room: 107
Skokie, IL 60076
"
56,"Criminal C
Criminal Courts Building, Room:400
2650 South California Avenue Room: 400
Chicago, IL 60608
"
57,"Branch 44
Branch 44, Room:2
3150 West Flournoy Room: 2
Chicago, IL 60612
"
58,"Criminal C
Criminal Courts Building, Room:700
2650 South California Avenue Room: 700
Chicago, IL 60608
"
59,"Markham
Markham, Room:108
16501 South Kedzie Parkway Room: 108
Markham, IL 60426
"
60,"Markham
Markham, Room:103
16501 South Kedzie Parkway Room: 103
Markham, IL 60426
"
61,Rolling Me
62,"Branch 35
Branch 35, Room:1
727 East 111th Street Room: 1
Chicago, IL 60628
"
63,"Skokie
Skokie, Room:102
5600 Old Orchard Road Room: 102
Skokie, IL 60076
"
